repository,hypothesis_labels
tt-a1i/archify,planning_decision;agents_orchestration;verification_evaluation;interface_visualization
rohitg00/agentmemory,agents_orchestration;verification_evaluation;memory_knowledge;software_engineering
Z3Prover/z3,reasoning_inference
debezium/debezium,software_engineering;data_connectors_tools
helshahaby/ZeroHuman,agents_orchestration;verification_evaluation;execution_automation;domain_application
harshasai-eng/goal-engineering-loop,planning_decision;agents_orchestration;execution_automation
MervinPraison/PraisonAI,planning_decision;agents_orchestration;memory_knowledge;execution_automation;software_engineering;research_science;interface_visualization
rohanarun/phoneclaw,execution_automation
hcipengm/cogneva,planning_decision;agents_orchestration
win4r/goal-prompt-builder,planning_decision;verification_evaluation;prompt_optimization;software_engineering;interface_visualization
grp06/goalcraft,planning_decision;prompt_optimization;software_engineering
majiayu000/awesome-goal-prompts,planning_decision;agents_orchestration;prompt_optimization;software_engineering
robonuggets/gauntlet-loop,planning_decision;agents_orchestration;prompt_optimization;interface_visualization
Alex-HaochenLi/Goal-oriented-Prompt-Engineering,planning_decision;prompt_optimization;data_connectors_tools
megamen32/chatgpt-multi,planning_decision;agents_orchestration;prompt_optimization
pro-vi/loopgen,planning_decision;prompt_optimization
wede-wx/atlas,planning_decision;agents_orchestration;verification_evaluation;prompt_optimization;software_engineering
Nam-Cheol/namba-ai,planning_decision;agents_orchestration;verification_evaluation;prompt_optimization;software_engineering
silencelamb/VibeKernel,planning_decision;agents_orchestration;verification_evaluation;prompt_optimization;software_engineering;research_science
y0f/fable-orchestration-5.1,planning_decision;agents_orchestration;prompt_optimization;execution_automation;software_engineering
hermes-labs-ai/hermes-blind,planning_decision;verification_evaluation;prompt_optimization;reliability_state;software_engineering;research_science;model_training_adaptation;interface_visualization
archon-ai-labs/quality-goal-dialog,planning_decision;prompt_optimization;software_engineering;research_science;interface_visualization
PKU-RL/MGPO,planning_decision;prompt_optimization;model_training_adaptation
1CJZ/PromptAnchor,planning_decision;prompt_optimization;model_training_adaptation;data_connectors_tools
robzilla1738/supergoal,planning_decision;agents_orchestration;memory_knowledge;reliability_state;software_engineering;interface_visualization
nordeim/project-management,planning_decision;agents_orchestration
frozenpepper/T-BAG,planning_decision;agents_orchestration;execution_automation
Planton361/life-os,planning_decision;interface_visualization
jeremyspofford/nova,planning_decision;agents_orchestration;verification_evaluation;execution_automation;governance_safety
LacsJP27/Caldochi,planning_decision
ordewell/ordewell,planning_decision;agents_orchestration;verification_evaluation;execution_automation;software_engineering
shiftshen/web-gpt-project-manager,planning_decision
carboni123/goal-driven-implementation,planning_decision;agents_orchestration;memory_knowledge;software_engineering;interface_visualization
jis901372/taskpilot-ai,planning_decision;agents_orchestration
am-space/own-planner,planning_decision;agents_orchestration;memory_knowledge;data_connectors_tools
vaddhiparthy/Agentic-Planning-and-Execution-Intelligence-Platform,planning_decision;agents_orchestration;verification_evaluation;execution_automation;software_engineering;data_connectors_tools
Autinerary/Goal-Planning-System,planning_decision
armelhbobdad/bmad-module-ultracode-goal,planning_decision;agents_orchestration;verification_evaluation;memory_knowledge;software_engineering;model_training_adaptation
nesterchirinda/clarity-ai,planning_decision
quantum-box/basepath,planning_decision;model_training_adaptation
manhowong/goal-to-task-graph,planning_decision;reasoning_inference;agents_orchestration;memory_knowledge
Redrum624/aura-life,planning_decision;agents_orchestration;reliability_state;research_science
NagarjunareddyDONDETI/AI_PERSONAL_CFO,planning_decision;execution_automation;reliability_state;software_engineering;data_connectors_tools;domain_application
reyals1111-ux/ZIGoals,planning_decision;agents_orchestration;interface_visualization
drewRam/orbit_agent_coding_manager,planning_decision;agents_orchestration;reliability_state;software_engineering
shitiwen/decompose-large-tasks,planning_decision;verification_evaluation;software_engineering
KingInYellows/yellow-goal,planning_decision;agents_orchestration;verification_evaluation;execution_automation;software_engineering
LeightonMees/dev-os,planning_decision;verification_evaluation
Atharvajoshi006/orbit,planning_decision;memory_knowledge;model_training_adaptation
komidawi/AI-SWE-Knowledge-Assistant,planning_decision;memory_knowledge;software_engineering;interface_visualization
lovingocean/nova-ai,planning_decision;agents_orchestration;verification_evaluation;execution_automation;software_engineering;interface_visualization;data_connectors_tools
AshRP03/species,planning_decision;reasoning_inference;research_science;model_training_adaptation
Kaifisidhu/certified-goal-viability,planning_decision
mailtopurnimams-29/Project_Inferential-Statistics-,planning_decision;reasoning_inference;verification_evaluation;data_connectors_tools;domain_application
DanielTabakman/Probability-prediction-engine,planning_decision;memory_knowledge
Artem1bar/datapilot,planning_decision;software_engineering;interface_visualization;data_connectors_tools
Vasanth-Naidu/04-Six-Sigma-Process-Mapping,planning_decision;memory_knowledge;reliability_state;software_engineering;interface_visualization
datawithshoaib/Analyst-Agent,planning_decision;agents_orchestration;software_engineering;interface_visualization;data_connectors_tools
tomasz-solis/experiment-architect,planning_decision;reasoning_inference;verification_evaluation;execution_automation;research_science;data_connectors_tools
nikil-gunji/-Predictive-Analytics-Using-Historical-Data,planning_decision;memory_knowledge;software_engineering;model_training_adaptation;domain_application
parrotufam/QTree-RRT-Improving-RRT-through-Quadtree-Guided-Sampling-for-Path-Planning,planning_decision;interface_visualization
juagudeloo/repo-deep-dive,planning_decision;software_engineering;model_training_adaptation
FrancescoFabiano/deep,planning_decision;reasoning_inference;agents_orchestration;memory_knowledge
JulianaSilva8/AI-Search-Algorithms,planning_decision;model_training_adaptation
wangjing0/gepa-optimizer,prompt_optimization;model_training_adaptation
leloss/gallm,prompt_optimization
alignment-farm/genetic-prompt-programming,prompt_optimization
jmoles/prompt-evolver,agents_orchestration;prompt_optimization;interface_visualization;data_connectors_tools
PhilWalker077/evolutionary-prompting-system,prompt_optimization;reliability_state;data_connectors_tools
shamdiggl/Genetic-Algorithms-for-LLM-Instruction-Optimization,prompt_optimization;execution_automation;software_engineering;research_science;model_training_adaptation
andevellicus/akona,planning_decision;prompt_optimization
salmanadnan2257/prompt-evolution-ga,prompt_optimization;software_engineering
MAYANK12-WQ/promptdna,prompt_optimization;model_training_adaptation
Blizzeq/Prompt-Evolution-Engine,prompt_optimization;execution_automation;interface_visualization
VDurocher/prompt-evolution-engine,prompt_optimization;execution_automation
khodossss/evoprompts,verification_evaluation;prompt_optimization;model_training_adaptation;data_connectors_tools
sbfroy/GRaSp,prompt_optimization;memory_knowledge;model_training_adaptation
joshnielsen876/Promptimizer,prompt_optimization
krishang118/Promptify,planning_decision;prompt_optimization;execution_automation
zeroFhacker/promptfuzz,verification_evaluation;prompt_optimization;execution_automation
hongfan-hub/Prompt-Evolution-Arena,agents_orchestration;verification_evaluation;prompt_optimization;memory_knowledge;software_engineering;model_training_adaptation;interface_visualization
hongfan-hub/AI-Red-Team-Fuzzing-Matrix,agents_orchestration;verification_evaluation;prompt_optimization;memory_knowledge;software_engineering;model_training_adaptation;interface_visualization
erichc91/evo-llm,planning_decision;prompt_optimization
jmilinovich/foundry,prompt_optimization;software_engineering;interface_visualization
Chetan-Kokate-21/PROSE-Prompt-Refinement-Optimization-and-Semantic-Evaluation,verification_evaluation;prompt_optimization;memory_knowledge;model_training_adaptation;model_efficiency_inference;interface_visualization
sam-sonite/Towards-AGI-A-Pragmatic-Approach-Towards-Self-Evolving-Agent,planning_decision;agents_orchestration;prompt_optimization;memory_knowledge;execution_automation;data_connectors_tools
oscarsaleta/GeneticAlgorithms,prompt_optimization;research_science
FaydSpeare/neat,prompt_optimization
FlagAI-Open/OpenSeek,other_uncertain
LCAV/FRIDA,other_uncertain
Gagniuc/Aho-Corasick-algorithm,interface_visualization
Dheeraj-02NK/Artificial-Intelligence,software_engineering;research_science;data_connectors_tools
kissman202/AI-Innovations,execution_automation;software_engineering
ronalddatcher/Project_Synapse,agents_orchestration;research_science;interface_visualization
DarynBang/Innov-A-RAG,agents_orchestration;memory_knowledge;research_science
CCTTOO666/innovation-network,agents_orchestration;memory_knowledge;research_science;data_connectors_tools
shenlian19831109/product-innovation-engine-skill,research_science;domain_application
matlugert/add-innovation-skill,software_engineering;research_science;interface_visualization
yfan8920-arch/ai-research-scout,agents_orchestration;research_science
Puskar10/Animatiion,software_engineering;research_science
Sumukha87/Insight-Engine,memory_knowledge;execution_automation;software_engineering;research_science;data_connectors_tools
sakshipatil1991/ResearchGapAI-MultiAgent,agents_orchestration;memory_knowledge;research_science
rubocode/innovation,software_engineering
